Interview ID;Scenario;Iteration;R.SA.1;R.SA.2;R.SA.3;R.SA.4.1;R.SA.4.2;R.SA.5.1;R.SA.5.2;R.SA.6.1;R.SA.6.2;R.SA.7;R.SA.8;R.SK.1;R.SK.2;R.SK.3;R.SK.4;R.SK.5;R.SK.6;R.SK.7;R.SK.8;R.SK.9;R.SK.10.1;R.SK.10.2;R.SK.11.1;R.SK.11.2;R.SK.12.1;R.SK.12.2;HAL_1;HAL_2;HAL_3;HAL_4;HAL_5;HAL_6;HAL_7;HAL_8;HAL_9;HAL_10;HAL_11
d08c455a-35cc-43ce-aaf2-ddae7520e4ff;Salon;1;E23;;;;;O23;AG23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d08c455a-35cc-43ce-aaf2-ddae7520e4ff;Salon;2;E24;;;;;I24;AO24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d08c455a-35cc-43ce-aaf2-ddae7520e4ff;Salon;3;E25;;;;;I25;AU25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
e1edb050-9f6a-489e-9bb5-250273d9bd1d;Salon;1;;;;;;;;;;S35;;;;;;;;;;;;;;;;;;;;;;;;;;;
e1edb050-9f6a-489e-9bb5-250273d9bd1d;Salon;2;E36;AK36;AI36;;K36;;;;;G36;;;;;;;;;;;;;;;;;;;;;;;;;;;
e1edb050-9f6a-489e-9bb5-250273d9bd1d;Salon;3;G37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fdd53def-9dcc-4ccf-9890-ab3ebef859e1;Salon;1;;;;;AA53,BK53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fdd53def-9dcc-4ccf-9890-ab3ebef859e1;Salon;2;;;;;AM54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fdd53def-9dcc-4ccf-9890-ab3ebef859e1;Salon;3;Q55;;;;Y55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3a6077fa-20e9-4eb9-b590-00e5dde74ca3;Ski;1;;;;;;;;;;;;E20,I20;O20,AI20;;;Q20;K20;;;;G20;AS20;;;;;AU20;AY20;;;;;;;;;
3a6077fa-20e9-4eb9-b590-00e5dde74ca3;Ski;2;;;;;;;;;;;;E21,Y21;M21,AE21;;AC21;AG21;G21,AA21;I21;;;AM21;;;;;;K21;;;;;;;;;;
3a6077fa-20e9-4eb9-b590-00e5dde74ca3;Ski;3;;;;;;;;;;;;E22,G22,AC22;AK22;;AI22;;AE22,AG22;I22;;;Y22;AA22;;;;;K22;;;;;;;;;;
3cca3e81-59a7-4543-97dc-5b4f945d3326;Ski;1;;;;;;;;;;;;;AG47;;;;I47,K47;;;;;;;;;;O47;;;;;;;;;;
3cca3e81-59a7-4543-97dc-5b4f945d3326;Ski;2;;;;;;;;;;;;;AU48;;AK48;;K48,M48;AA48;;;BE48;;;;G48;;AG48;AI48;AS48;BG48;;;;;;;
3cca3e81-59a7-4543-97dc-5b4f945d3326;Ski;3;;;;;;;;;;;;M49;AA49;;AE49;;I49,K49;O49;;;;;;;AO49;;E49;;;;;;;;;;
447f8927-ecf4-4fe5-8396-f3ed2cf84f75;Ski;1;;;;;;;;;;;;G17;AG17;;AC17;W17,Y17;AE17;;;;U17;I17,AM17;;;;;AK17;;;;;;;;;;
447f8927-ecf4-4fe5-8396-f3ed2cf84f75;Ski;2;;;;;;;;;;;;G18;Y18;;AA18;I18;AC18;;;;S18;W18,AG18;;;;;;;;;;;;;;;
447f8927-ecf4-4fe5-8396-f3ed2cf84f75;Ski;3;;;;;;;;;;;;;O19;;;M19;S19;;;;AK19,AM19;G19;;;;;W19;;;;;;;;;;
46515d9e-58ad-487d-9eb9-23584a9c987b;Ski;1;;;;;;;;;;;;;;I8;;;;;;;AC8;;;;;;;;;;;;;;;;
46515d9e-58ad-487d-9eb9-23584a9c987b;Ski;2;;;;;;;;;;;;E9;AK9;U9;W9;;G9,I9;AA9;;AY9;;;;;;;AQ9;;;;;;;;;;
46515d9e-58ad-487d-9eb9-23584a9c987b;Ski;3;;;;;;;;;;;;E10;AO10;W10;Y10;;G10,I10;;;BA10;;;;;;;AA10;AC10;AE10;AG10;AI10;AM10;BC10;;;;
4fdb024f-c213-4091-9567-bcb80e822990;Ski;1;;;;;;;;;;;;G29;Q29;AC29;;;I29,K29;;AS29;AM29;AY29;;;;;;AQ29;AW29;;;;;;;;;
4fdb024f-c213-4091-9567-bcb80e822990;Ski;2;;;;;;;;;;;;;Q30;Y30;;;;;;K30;M30;;;;;;AA30;AC30;AI30;AK30;;;;;;;
4fdb024f-c213-4091-9567-bcb80e822990;Ski;3;;;;;;;;;;;;G31;;;;;I31,K31;;;AI31,AM31;;;;;;;;;;;;;;;;;
5012efc8-c30a-4922-b54e-d9fe8ef3356e;Ski;1;;;;;;;;;;;;E41;O41;Q41,AO41;Y41;S41;G41,I41;;;;K41;M41;;;;;AQ41;;;;;;;;;;
5012efc8-c30a-4922-b54e-d9fe8ef3356e;Ski;2;;;;;;;;;;;;;AA42;;;AC42,BG42;;;;;G42,BE42;;;;;;O42;AQ42;AY42;;;;;;;;
5012efc8-c30a-4922-b54e-d9fe8ef3356e;Ski;3;;;;;;;;;;;;E43;;M43;AK43;O43;G43,I43;;;;U43;W43;;;;;AA43;;;;;;;;;;
5267f55a-9337-49b3-9747-d05c69c877f0;Ski;1;;;;;;;;;;;;G14;;E14,O14;;;I14,K14;M14;;BC14;AC14;;AY14;;;BK14;;;;;;;;;;;
5267f55a-9337-49b3-9747-d05c69c877f0;Ski;2;;;;;;;;;;;;O15,AA15,AC15;U15;AK15;;;M15,AE15;Y15;;BI15;;;;;;BG15;;;;;;;;;;;
5267f55a-9337-49b3-9747-d05c69c877f0;Ski;3;;;;;;;;;;;;I16;;Q16,Y16;K16;;G16;S16;BC16;BI16;;;;;;AC16;AA16;;;;;;;;;;
5ef11a7f-45af-4e3a-8399-2cfb469c5253;Ski;1;;;;;;;;;;;;;U2;;Y2;BA2;E2;;;I2;Q2;;;;;;;;;;;;;;;;
5ef11a7f-45af-4e3a-8399-2cfb469c5253;Ski;2;;;;;;;;;;;;E3;W3;;;BK3;G3,I3;;AI3;;;;;;;;;;;;;;;;;;
5ef11a7f-45af-4e3a-8399-2cfb469c5253;Ski;3;;;;;;;;;;;;;S4;;;;;;;;;;;;;;;;;;;;;;;;
9b79199f-6e38-4234-8be6-1bfa7068bfa1;Ski;1;;;;;;;;;;;;G62;Q62,AA62;AK62;O62;S62;I62,K62;M62;;AQ62;E62;;;;;;AW62;BA62;;;;;;;;;
9b79199f-6e38-4234-8be6-1bfa7068bfa1;Ski;2;;;;;;;;;;;;K63,M63;AG63;AA63;U63;Y63;G63,I63;O63;;;Q63;S63;;;;;;;;;;;;;;;
9b79199f-6e38-4234-8be6-1bfa7068bfa1;Ski;3;;;;;;;;;;;;U64;Y64;AI64;;;G64,I64,K64;W64;AK64;AM64;AA64;;S64;;;;M64;O64;;;;;;;;;
ba13038b-352a-4fd1-a2bc-78828412ab09;Ski;1;;;;;;;;;;;;AE11;;AC11;;;;;;;;;;;;;;;;;;;;;;;
ba13038b-352a-4fd1-a2bc-78828412ab09;Ski;2;;;;;;;;;;;;AK12;;;AO12;;;AM12;;;BE12;;;;;;BG12;;;;;;;;;;
ba13038b-352a-4fd1-a2bc-78828412ab09;Ski;3;;;;;;;;;;;;AO13;;;;;;AQ13;;;;;;I13;;;K13;;;;;;;;;;
ed345832-0cec-4695-8f89-7eeb230076bd;Ski;1;;;;;;;;;;;;E44;;;;;G44;;;;AG44;Q44,S44;;AO44;;AS44;AQ44;AU44;AW44;;;;;;;;
ed345832-0cec-4695-8f89-7eeb230076bd;Ski;2;;;;;;;;;;;;;;;;;I45;O45;;;AM45,AO45;AG45,AI45;;K45;;;;;;;;;;;;;
ed345832-0cec-4695-8f89-7eeb230076bd;Ski;3;;;;;;;;;;;;;;;;;I46;;;;AO46,AQ46;;;K46;;;;;;;;;;;;;
ef90e0df-81db-44b1-a004-c3c5287eff60;Ski;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ef90e0df-81db-44b1-a004-c3c5287eff60;Ski;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ef90e0df-81db-44b1-a004-c3c5287eff60;Ski;3;;;;;;;;;;;;;;;;;;;;;AA28;AQ28;;;;;;;;;;;;;;;
